car_id,day,loc_id,hour
0,1,0,4
0,1,0,4
0,1,1,7
0,1,2,6
0,1,3,6
0,1,4,2
0,1,0,6
0,1,5,5
0,1,6,5
0,1,7,3
0,1,8,1
0,1,9,2
0,1,3,5
0,1,6,4
0,1,10,0
0,1,11,8
0,1,12,1
0,1,13,0
0,1,14,0
0,1,15,1
0,1,16,0
0,1,17,8
0,1,18,7
0,1,19,7
0,1,20,2
0,1,21,2
0,1,0,2
0,1,22,2
0,1,23,3
0,1,0,5
0,1,14,7
0,1,24,15
0,1,25,9
0,1,26,11
0,1,16,9
0,1,27,9
0,1,28,9
0,1,29,8
0,1,30,8
0,1,31,8
0,1,32,9
0,1,33,12
0,1,34,12
0,1,35,13
0,1,26,11
0,1,36,15
0,1,37,16
0,1,38,11
0,1,32,11
0,1,39,18
0,1,40,17
0,1,41,15
0,2,26,0
0,1,42,17
0,2,0,3
0,2,6,3
0,1,0,21
0,1,6,22
0,1,43,19
0,1,44,23
0,1,26,23
0,1,3,19
0,2,0,6
0,2,45,7
0,2,16,0
0,2,46,9
0,2,47,9
0,1,48,23
0,2,27,0
0,2,49,10
0,2,50,8
0,2,51,10
0,2,34,5
0,2,46,8
0,2,52,5
0,2,17,5
0,2,19,5
0,2,53,9
0,2,54,9
0,2,45,13
0,2,55,13
0,2,56,7
0,2,57,4
0,2,58,7
0,2,59,5
0,2,60,4
0,2,3,6
0,2,21,11
0,2,61,11
0,2,62,11
0,2,59,12
0,2,56,14
0,2,58,14
0,2,63,15
0,2,59,14
0,2,22,14
0,2,64,14
0,2,65,13
0,2,66,15
0,2,67,13
0,2,68,17
0,2,69,15
0,2,30,22
0,2,29,22
0,2,70,17
0,2,71,21
0,2,72,22
0,2,73,16
0,2,48,16
0,3,70,1
0,3,10,2
0,3,74,1
0,3,0,1
0,3,6,1
0,3,75,1
0,2,76,16
0,3,77,1
0,3,73,1
0,2,0,19
0,2,6,19
0,2,78,17
0,2,48,20
0,2,50,19
0,2,79,20
0,2,44,21
0,2,9,21
0,2,79,21
0,2,80,20
0,3,75,7
0,3,81,5
0,3,73,7
0,2,3,19
0,3,6,0
0,3,57,5
0,3,82,9
0,2,31,22
0,3,27,3
0,2,57,22
0,3,83,10
0,3,84,7
0,3,6,7
0,3,85,9
0,3,36,9
0,3,86,9
0,3,87,9
0,3,88,10
0,3,89,10
0,3,11,7
0,3,90,11
0,3,91,7
0,3,92,10
0,3,93,14
0,3,0,18
0,3,94,10
0,3,95,15
0,3,96,15
0,3,97,14
0,3,72,13
0,3,41,11
0,3,36,12
0,3,31,13
0,3,63,14
0,3,98,14
0,3,99,12
0,3,19,16
0,3,100,16
0,3,80,16
